name	latitude	longitude
Asia	29.84064	89.29688
Sudan	16	30
Iraq	33	44
Mariupol	47.09514	37.54131
Dublin	53.33306	-6.24889
Moscow	55.75222	37.61556
the Global South	33.71109	-117.88424
Arura	-7.69797	-65.0746
Deir Qaddis	31.94862	35.04437
El Arish	31.13159	33.79844
Aizawl	23.72894	92.71791
Manipur	25	94
Kangpokpi	25.15114	93.9695
Mizoram	23	93
Kolasib	24.22388	92.67869
Bethlehem	40.62593	-75.37046
Shawawra	31.68463	35.26839
Tehran	35.69439	51.42151
X.	47.48427	19.13913
Spain	10.66668	-61.51889
Madrid	40.4165	-3.70256
Oman	21	57
The United Arab Emirates	38.89928	-77.05637
Gulf	30.3314	-89.73221
Bani Suheila	31.34337	34.32337
al-Fukhari	31.29523	34.33315
Damascus	33.5102	36.29128
Baghdad	33.34058	44.40088
The Islamic Republic	-12.23333	44.44553
the Near East	40.64205	-73.66957
Serbia	44.81892	20.45998
Bosnia-Herzegovina	44.25	17.83333
Srebrenica	44.10748	19.29669
Algeria	28	3
the State of Israel	39.61147	-84.75896
Yugoslavia	44	19.75
the Gulf of Aden	33.15873	-86.99666
Philippines	13.40882	122.56155
the Cape of Good Hope	37.52777	-108.02785
Pakistan	30	70
Erbil	36.19117	44.00943
Rask	29.49114	57.18543
Sistan-Baluchestan	28.5	60.5
the Persian Gulf	26.35058	50.16805
Davos	46.80429	9.83723
Balochistan	28	63
Supernova	45.75612	15.98794
Dhamar	14.54274	44.40514
al-Bayda	32.76272	21.75506
the Arabian Sea	27	51
al-Karama	25.24004	55.30106
Beruit	4.5044	102.5788
Maghazi	31.10182	30.23397
Manchester City	42.99564	-71.45479
Barcelona	10.13625	-64.68618
Chile	-30	-71
Mexico	19.42847	-99.12766
Santiago	-33.45694	-70.64827
Bangladesh	24	90
Bolivia	-17	-65
Comoros	-12.23333	44.44553
Djibouti	11.83333	42.5
Haifa	32.81841	34.9885
Caesarea	41.65606	-0.87734
Kefar Sava	32.175	34.90694
Rehovot	31.89421	34.81199
Beersheba	31.25181	34.7913
Khan Yunis	31.34018	34.30627
Mawasi	32.48133	68.85529
Dearborn	42.71618	-83.20582
Michigan	42.97443	-85.7541
Chicago	41.85003	-87.65005
New Delhi	28.62137	77.2148
North America	46.07323	-100.54688
North Africa	16.0601	-91.14906
al-Shifa	29.31954	40.14653
Kampala	0.31628	32.58219
Indonesia	-5	120
Peru	-10	-75.25
Colombia	4	-73.25
South Sudan	7.5	30
Swaziland	-26.5	31.5
Lisbon	38.71667	-9.13333
Portugal	39.6945	-8.13057
Kiryat Shmona	33.20733	35.57212
the Blue Line	45.46083	-84.90722
Gulf of Aden	12	48
Singapore	1.28967	103.85007
Mediterranean	35.78	19.33
the Indian Ocean	27	51
the Marshall Islands	7.113	171.236
Bab al-Mandeb Strait	12.60416	43.33557
Morocco	28.5	-10
Rabat	34.01325	-6.83255
Western Sahara	24	-14
Marrakesh	31.63416	-7.99994
the Western Sahara	33.6099	-114.6064
Maghreb	30	5
al-Walaja	30.52183	31.29729
Gilo	-7.45	-40.83333
Har Gilo	31.72119	35.1724
Al Rayyan	25.29194	51.42444
Wadi Gaza	31.40048	34.33754
Bosnia	44.25	17.83333
Sri Lanka	7.75	80.75
the Republic of South Africa	-29	24
PA	40.43916	-79.83099
Oslo	59.91273	10.74609
Cairo	30.06263	31.24967
New York	40.71427	-74.00597
Belarus	53	28
Ebel el-Saqi	33.35667	35.62639
Entebbe, Uganda	0.05621	32.47949
Sierra Leone	8.5	-11.5
DRC	-2.5	23.5
Namibia	-22	17
Northern Gaza	43.02026	-95.58001
Malta	35.91667	14.43333
the Gulf of Oman	23.61656	58.59232
Ankara	39.91987	32.85427
Aqaba	29.52667	35.00778
California	34.68743	-116.78467
Panjgur	26.75	64
the Sistan-Baluchestan province	28.5	60.5
Islamabad	33.72148	73.04329
the Islamic Republic of Iran	27	51
Texas	28.9204	-98.5772
the Republic of Korea	37.48601	126.80154
Libya	28	17
Kosovo	42.58333	20.91667
Sabra	34.83042	-1.547
Shatila	15.07632	43.74009
Kyiv	50.45466	30.5238
Somalia	6	48
Cameroon	6	12.5
al-Ahli	31.55644	35.08302
Philadelphi	40.0909	-75.3934
Kerem Shalom	31.22777	34.28459
Greece	39	22
Dubai	25.07725	55.30927
Bab al-Mandeb	12.60416	43.33557
Riyadh	24.68773	46.72185
Yaroun	33.08028	35.4225
Avivim	33.08892	35.47228
Herzegovina	44.25	17.83333
Montenegro	42.75	19.25
Silicon Valley	37.37	-122.04
Beit Shemesh	31.73072	34.99293
Santa Clara	22.40694	-79.96472
Moldova	47.25	28.58333
Bern	46.94809	7.44744
Zurich	47.36667	8.55
Netivot	31.42305	34.58911
Israel-Palestine	32.50129	34.89271
al-Dabshah	33.19083	35.25694
Khirbet Selm	33.22931	35.42407
Bint Jbeil	33.11944	35.43333
Ibil El Saqi	33.35667	35.62639
al-Khader	31.69405	35.16685
the Litani River	3.3	-54.1
Harvey	41.61003	-87.64671
Tawfiq	33.01842	44.38071
New York City	40.71427	-74.00597
the Middle East Eye	36.67033	41.06324
Al Maniya	32.36105	45.48408
WestBank	39.95562	-83.00991
Mercator	53.04694	-68.70667
Alaska	64.00028	-150.00028
South America	-14.60485	-57.65625
the Asia-Pacific	34.14695	-118.1409
Golan Heights	32.90485	35.80725
Crimea	45	34
the South China Sea	43.93999	-103.55269
South China Sea	15	115
Vietnam	16.16667	107.83333
Kashmir	33.5329	75.40781
Beit Lahiya	31.5464	34.49514
al-Mazra’a	31.95403	35.1624
the Mediterranean Sea	31.79213	34.64966
Ajaq	37.70656	57.2903
Silwad	31.97625	35.2613
Hodeidah province	14.79781	42.95452
Rohtak	28.91653	76.63885
Haryana	29.25	76.33333
Uttar Pradesh	27.25	80.75
Lucknow	26.83928	80.92313
UP	39.43167	125.93278
Bihar	25.75	85.75
West Bengal	24	88
Thailand	15.5	101
Middle Eastern	39.42657	41.23464
Palestinian Territories	31.92157	35.20329
the Strip	36.11479	-115.17281
Kan	22.14701	105.83481
The United Kingdom	54.75844	-2.69531
West Jerusalem	31.78199	35.21961
the Bab al-	31.81527	35.02271
Mandeb Strait	12.60416	43.33557
Munich	48.13743	11.57549
Sidon	33.55751	35.37148
Tunisia	34	9
Zawayda	31.42844	34.36595
Beit Hanoon	31.5353	34.53579
the Red Sea.	38.47304	-109.81762
La France	14.60365	-61.07418
Eurasia	87	80
Heliopolis	36.56383	7.38011
al-Fawakhir	26.00672	33.61131
Levant	34	36
Mecca	21.42664	39.82563
Byzantium	41.01384	28.94966
Zeitoun	34.06222	35.68528
Anthedon	38.49842	23.44886
Balakhiyah	31.54195	34.45175
Tida	15.1998	0.971
Tell el-Ajjul	31.46694	34.40639
Cyprus	35.00304	32.98791
Daraj	30.16502	10.45804
Seychelles	-4.58333	55.66667
Bab al-Mandeb strait	12.60416	43.33557
Maldives	3.2	73
Columbia	34.00071	-81.03481
Istanbul	41.01384	28.94966
Crete	35.16667	25
Sweden's	35.05786	-85.73219
Bureij	31.43944	34.40306
al-Mahatta	30.56977	32.1146
Mozambique	-18.25	35
United States’	41.88062	-87.6745
Bulgaria	42.66667	25.25
al-Mawasi	31.32919	34.23108
Idlib	35.93062	36.63393
Detroit	42.33143	-83.04575
Southeast Michigan	43.96102	-83.71087
Arab America	34.31815	-86.49582
Jarrah	24.76667	51.09028
Wayne County	40.87478	-81.88681
Minnesota	46.25024	-94.25055
Des Moines	41.60054	-93.60911
Iowa	42.00027	-93.50049
Cedar Rapids	42.00833	-91.64407
Iowa City	41.66113	-91.53017
South Asia	6.83917	116.45508
Florida	26.5	-81
Ohio	41.07429	-81.49338
Aroura	38.92219	-111.93409
al-Arouri	23.21751	5.624
al-Mughraqa	31.4675	34.40972
al-Maghazi	31.10182	30.23397
Deir al-Balah	31.41834	34.34933
al-Tanf	33.41512	38.9695
the Hashemite Kingdom of Jordan	38.94428	-77.06776
Dahiya	20.82132	84.00218
Geneva	46.20222	6.14569
Gaza city	31.50161	34.46672
Ashdod	31.79213	34.64966
Hebrew	39.86679	-74.17736
Mackinac Island	45.86444	-84.63552
Great Lakes	44.57143	-84.69022
Lake Michigan	44.00778	-86.75698
Beit Nabala	31.97913	34.9505
Mazzeh	28.0959	53.60923
Borj el Barajneh	33.84347	35.49874
West Beirut	-8.341	116.2204
Hamra	26.83333	-12
Dabbouch	33.56331	-7.0926
East Beirut	33.89332	35.50157
Estonia	59	26
Bab el-Mandeb strait	12.60416	43.33557
Southern Red Sea	13.75	41.5
the Eastern Mediterranean	42.5	2.25
Bab-el-Mandeb strait	12.60416	43.33557
Eilat	29.55805	34.94821
Dead Sea	44.86777	-73.62391
Eastern Mediterranean region	39.42657	41.23464
Hamoud	15.64004	-11.51864
Rashidiya	25.2241	55.39165
Miraj	16.8671	74.70146
Tal al-Hawa	36.74833	42.30685
Gisha	-1.73291	30.56931
Bani Naim	15.88333	43.78333
Raanana	32.1836	34.87386
Sderot	31.525	34.59693
Nir Am	35.53502	36.43346
Mefalsim	31.50125	34.5637
Hanita	33.08548	35.18278
Mattat	33.04134	35.35858
Adamit	33.07971	35.21103
Malkia	42.16719	26.77509
the Jordan River	32.55	35.56667
Alborz	35.96587	52.54258
Southern Africa	-27.11781	22.28027
Venezuela	8	-66
Hormuz	26.56667	56.25
the Arabian Gulf	26.35058	50.16805
Israel's	37.97986	-78.69724
Kanaker	40.22245	44.54033
Sarit	35.47569	71.45229
Aleppo	36.20124	37.16117
Entebbe	0.05621	32.47949
Al-Aqsa	28.5	-10
Kurdistan	37	44
Walla	46.0943	-118.28802
Rwanda	-2	30
East Timor	-8.83333	125.75
Kabul	34.52813	69.17233
az-Zahra	29.27524	47.99567
Hamad	26.11528	50.50694
the State of Qatar	38.89845	-77.0547
Melbourne, Australia	-37.814	144.96332
Melbourne	-37.814	144.96332
Sandridge Beach	-37.83931	144.91747
Sydney	-33.86785	151.20732
Brisbane	-27.46794	153.02809
Taiz province	13.57952	44.02091
Al-Bayda	32.76272	21.75506
Dena	30.94941	51.43553
Oakland	37.80437	-122.2708
Akrotiri	34.62929	32.96717
Limassol	34.68406	33.03794
Anadolu	39.17175	33.52346
Nevatim	31.20473	35.02047
the Republic of Cyprus	35	33
Dhekelia	38.16667	23.78333
USA	39.76	-98.5
Al-Fukhari	31.29523	34.33315
al-Amal	31.23993	32.31628
al-Nasser	31.861	23.907
Cape Town	-33.92584	18.42322
Western Cape province	-34	20
Paltel	32.08712	35.18388
Jawwal	31.53521	35.09906
Salem	44.9429	-123.0351
Copenhagen	55.67594	12.56553
